date,NYSE:AIG,NYSE:AIR,NYSE:ADM,NYSE:ABT,NYSE:PRI,NYSE:Y,NYSE:ALK,NYSE:AXP
2011-02-01,48.895276250154495,141.30734836294653,86.44684841027318,26.841746431389815,0.0,0.0,0.0,0.0
2011-03-01,179.2826795838998,24.9365908875788,0.0,0.0,24.694406716878632,0.0,0.0,0.0
2011-04-01,32.596850833436335,83.12196962526265,0.0,53.68349286277963,53.504547886570364,0.0,0.0,0.0
2011-05-01,146.6858287504635,24.9365908875788,25.93405452308195,104.38456945540484,0.0,27.163847388566495,0.0,0.0
2011-06-01,81.49212708359083,24.9365908875788,0.0,53.68349286277963,0.0,0.0,0.0,0.0
2011-07-01,48.895276250154495,0.0,0.0,50.701076592625206,78.198954603449,0.0,0.0,0.0
2011-08-01,114.08897791702717,141.30734836294653,47.545766625650245,47.71866032247078,49.388813433757264,50.623533769601195,0.0,24.0
2011-09-01,114.08897791702717,99.7463635503152,0.0,23.85933016123539,0.0,50.623533769601195,0.0,24.0
2011-10-01,65.19370166687267,66.49757570021013,21.611712102568294,0.0,0.0,23.4596863810347,0.0,23.0
2011-11-01,65.19370166687267,116.37075747536771,0.0,0.0,22.63653949047208,0.0,0.0,46.0
2011-12-01,114.08897791702717,108.05856051284144,0.0,44.73624405231636,22.63653949047208,0.0,0.0,22.0
2012-01-01,16.298425416718167,66.49757570021013,0.0,20.876913891080967,20.578672264065524,22.22496604519077,0.0,0.0
2012-02-01,65.19370166687267,0.0,0.0,20.876913891080967,20.578672264065524,0.0,20.87912087912088,63.0
2012-03-01,0.0,41.560984812631325,21.611712102568294,0.0,0.0,20.990245709346837,0.0,40.0
2012-04-01,130.38740333374534,0.0,0.0,20.876913891080967,43.215211754537606,22.22496604519077,0.0,43.0
2012-05-01,114.08897791702717,58.185378737683855,21.611712102568294,41.753827782161935,20.578672264065524,0.0,0.0,81.0
2012-06-01,65.19370166687267,83.12196962526265,0.0,0.0,0.0,22.22496604519077,0.0,42.0
2012-07-01,32.596850833436335,58.185378737683855,0.0,20.876913891080967,20.578672264065524,0.0,0.0,0.0
2012-08-01,16.298425416718167,16.624393925052534,0.0,0.0,20.578672264065524,20.990245709346837,0.0,0.0
2012-09-01,97.79055250030899,58.185378737683855,0.0,20.876913891080967,39.0994773017245,0.0,0.0,0.0
2012-10-01,32.596850833436335,149.61954532547276,34.57873936410927,56.66590913293406,0.0,19.755525373502905,0.0,18.0
2012-11-01,130.38740333374534,116.37075747536771,0.0,38.77141151200751,18.520805037658974,19.755525373502905,0.0,19.0
2012-12-01,65.19370166687267,58.185378737683855,0.0,0.0,18.520805037658974,0.0,0.0,18.0
2013-01-01,114.08897791702717,49.8731817751576,0.0,17.894497620926543,34.9837428489114,0.0,0.0,0.0
2013-02-01,114.08897791702717,58.185378737683855,17.289369682054634,0.0,37.04161007531795,0.0,0.0,0.0
2013-03-01,16.298425416718167,83.12196962526265,17.289369682054634,0.0,32.92587562250484,0.0,0.0,50.0
2013-04-01,48.895276250154495,49.8731817751576,17.289369682054634,17.894497620926543,34.9837428489114,0.0,0.0,0.0
2013-05-01,16.298425416718167,33.24878785010507,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,16.298425416718167,66.49757570021013,0.0,17.894497620926543,34.9837428489114,37.04161007531795,0.0,18.0
2013-07-01,16.298425416718167,141.30734836294653,0.0,35.78899524185309,51.44668066016382,0.0,0.0,35.0
2013-08-01,162.98425416718166,49.8731817751576,0.0,0.0,16.46293781125242,0.0,16.483516483516485,0.0
2013-09-01,16.298425416718167,16.624393925052534,17.289369682054634,17.894497620926543,0.0,0.0,0.0,17.0
2013-10-01,32.596850833436335,83.12196962526265,0.0,0.0,32.92587562250484,17.286084701815042,0.0,0.0
2013-11-01,114.08897791702717,99.7463635503152,0.0,0.0,0.0,0.0,16.483516483516485,0.0
2013-12-01,48.895276250154495,33.24878785010507,0.0,17.894497620926543,32.92587562250484,0.0,0.0,0.0
2014-01-01,32.596850833436335,141.30734836294653,0.0,14.912081350772121,16.46293781125242,0.0,0.0,16.0
2014-02-01,0.0,33.24878785010507,0.0,0.0,86.43042350907521,53.09297444128906,0.0,17.0
